pat_no,claim_no,claim_txt,dependencies,ind_flg,appl_id
3930271,1,"1. A golf glove comprising at least an index finger receptacle, a middle finger receptacle and a back surface extending from said receptacles in the direction of the wrist, and further comprising another finger receptacle disposed adjacent said index finger receptacle and said middle finger receptacle and overlapping a portion of said back section.",,1,
3930271,4,4. A golf glove adapted for use on one hand of a golf player comprising at least an index finger receptacle and further comprising a finger receptacle attached to the side of said index finger receptacle most nearly adjacent to the thumb and adapted to receive a finger of the golf player's other hand.,,1,
3930271,3,"3. A glove comprising an index finger receptacle, a middle finger receptacle, a back surface extending in the direction of the wrist, a finger restraining strap extending between said receptacles, and a finger restraining strap attached to said back surface adjacent said index finger receptacle and said middle finger receptacle and aligned in a direction substantially parallel to said finger restraining strap extending between said finger receptacles.",,1,
3930271,2,"2. A golf glove in accordance with claim 1 wherein said other finger receptacle is attached along its periphery to said index finger receptacle, said middle finger receptacle and said back surface.",1,0,
3930272,1,"1. In combination with a height adjustable crib or the like of the type having a corner post and an extensible leg slidably connected to the corner post and having a series of holes along its length, a lock comprisingA. a rigid bracket extending around the extensible leg and having sides lying flush against opposite sides of the corner post;B. means for pivotally connecting the bracket sides to the corner post so that the bracket can be swung toward and away from the leg;C. a rigid nose projecting from the bracket and extending toward the leg, said nose being arranged to engage in one of the leg holes when the bracket is swung against the leg so as to lock the leg at a selected position of lengthwise adjustment relative to the corner post, andD. means mounted on the corner post and cooperating with the bracket for removably retaining the bracket with its nose in said hole said retaining means comprising1. a latch pivotally connected to the corner post adjacent to the bracket, and a slot formed in a side of the bracket, the sides of the slot being engaged by the latch when the bracket is positioned with its nose in said hole.",,1,
3930272,3,3. The lock defined in claim 1 wherein the pivotal connection of the latch to the corner post is off center so that the force of gravity tends to maintain the latch in the slot when the bracket is positioned with its nose in said hole.,1,0,
3930272,2,2. The lock defined in claim 1 wherein the bracket comprises a single rigid metal stamping.,1,0,
3930273,21,"21. A bed arrangement comprisinga bed frame,a side rail assembly for said bed frame, said side rail assembly comprisinga pair of separately detachable side rails each with spaced risers pivotally secured thereto, and one riser having a releasable pivot-prevention lock thereon,said risers being removably pivotally mounted on said bed frame,and a pair of nonpermanent and manually releasably detachable lateral rigidifying stabilizers cross members extending transversely across said bed frame and releasably engageable in pivotal and lateral rigidifying interconnecting relation each with respective opposite pairs of said side rail risers,said side rail risers each having pivot pins thereon,and said detachable stabilizer cross members each having end openings for receiving said pivot pins,said cross members being relatively pivotally engaged at their end openings with said riser pivot pins, and being supported in suspended relation between and by said pivot pins,and releasable securing means releasably securing said pivot pins to said bed frame with said cross members extending therebetween,said releasable securing means comprising finger-actuatable spring retainers for each of said risers and releasably engageable in resilient relation with said riser pins,said releasable pivot-prevention lock on said riser including a latch removably pivotally engaged with a respective adjacent effective portion of one of said longitudinal side frame members,two of said spring retainers being each secured in latch-engaging relation to a respective one of said riser pivot pins and being also releasably engageable with a said groove in the respective said pivot pin at a position spaced along the length of said pin from said wrap-engaging relation position of said spring retainer on the respective said pin.",,1,
3930273,20,"20. A bed arrangement comprisinga bed frame,a side rail assembly for said bed frame, said side rail assembly comprisinga pair of separately detachable side rails each with spaced risers pivotally secured thereto,said risers being removably pivotally mounted on an effective portion of said bed frame,and a pair of nonpermanent and detachable cross members extending transversely across said bed frame and releasably engageable in pivotal interconnecting relation each with respective opposite pairs of said side rail risers,said side rail risers each having pivot pins thereon,and said cross members each having end openings for receiving said pivot pins,said cross members being relatively pivotally engaged at their end openings with said riser pivot pins, and being supported in suspended relation between and by said pivot pins,said bed frame including spaced generally parallel longitudinal side frame members with spaced holes effectively formed thereon,said cross members extending between said side frame members and having their said end openings in effective alignment with respective opposite pairs of said holes,said riser pivot pins extending through said holes and into said cross member end openings,and releasable securing means releasably securing said pins within said side frame member holes.",,1,
3930273,3,"3. A bed arrangement according to claim 2,the pivotal engagement of said latches with said longitudinal side frame members being about a generally horizontal pivot axis, said one pivoted position of said latch being an upward pivoted position as compared to said second pivoted position of said latch, whereby said latch is gravity biased toward said one pivoted position.",2,0,
3930273,6,"6. A bed arrangement according to claim 5,said finger actuatable spring retainers which are anchored to said latches being anchored each to its respective said latch in spaced relation from the respective said riser pivot pin and engaging the respective said riser pivot pin in cantilevered spring biasing relation toward a locked position with respect to said latchably engageable further pin on the respective said riser.",5,0,
3930273,23,"23. A side rail assembly for selective detachable connection to a bed, having a bed frame including spaced generally parallel longitudinal side frame members with spaced holes effectively formed thereon, comprisinga side rail assembly for a said bed frame, said side rail assembly comprisinga pair of separately detachable side rails each with spaced risers pivotally secured thereto,said risers being removably pivotally mountable on an effective portion of a bed frame,and a pair of nonpermanent and detachable cross members extendable transversely across a said bed frame and releasably engageable in pivotal interconnecting relation each with respective opposite pairs of said side rail risers,said cross members and said side rail risers having a respective pin and socket interconnection formed therebetween at opposite end zones of said cross members,said cross members and said risers being relatively pivotally interconnectable through their respective said pin and socket interconnections,said cross members extending between said side frame members and said cross members and said risers being removably disposed with their respective pin and socket connections alignable with and having a portion thereof extendable through said spaced holes and supportable on said side frame members.and releasable securing means for releasably securing said pin and socket interconnections with a portion of said interconnections extending through said spaced side frame member holes.",,1,
3930273,10,"10. A bed arrangement according to claim 9,each of said spring retainers having a finger engageable loop thereon for finger actuated locking or release thereof relative to its said riser pivot pin and the respective said longitudinal side frame member.",9,0,
3930273,11,"11. A bed arrangement according to claim 4,two of said spring retainers being each secured in latch-engaging relation to a respective one of said riser pivot pins and being also releasably engageable with a said groove in the respective said pivot pin at a position spaced along the length of said pin from said wrap-engaging relation position of said spring retainer on the respective said pin.",4,0,
3930273,5,"5. A bed arrangement according to claim 4,said finger actuatable spring retainers carried by said risers which have said latch attached thereto being anchored to the respective said latch and releasably engageable in spring biased locking relation with the respective adjacent said riser pivot pin.",4,0,
3930273,1,"1. A bed arrangement comprisinga bed frame,a side rail assembly for said bed frame, said side rail assembly comprisinga pair of separately detachable side rails each with spaced risers pivotally secured thereto, and one riser having a releasable pivot-prevention lock thereon,said risers being removably pivotally mounted on said bed frame,and a pair of nonpermanent and detachable cross members extending transversely across said bed frame and releasably engageable in pivotal interconnecting relation each with respective opposite pairs of said side rails risers,said side rail risers each having pivot pins thereon,and said cross members each having end openings for receiving said pivot pins,said cross members being relatively pivotally engaged at their end openings with said riser pivot pins, and being supported in suspended relation between and by said pivot pins,said bed frame including spaced generally parallel longitudinal side frame members with spaced holes effectively formed thereon,said cross members extending between said side frame members and having their said end openings in effective alignment with respective opposite pairs of said holes,said riser pivot pins extending through said holes and into said cross member end openings,and releasable securing means releasably securing said pins within said side frame member holes.",,1,
3930273,24,"24. A side rail assembly for selective detachable connection to a bed, having a bed frame including spaced generally parallel longitudinal side frame members with spaced holes effectively formed thereon, comprisinga side rail assembly for a said bed frame, said side rail assembly comprisinga pair of separately detachable side rails each with spaced risers pivotally secured thereto,said risers removably pivotally mountable on an effective portion of a said bed frame,and a pair of nonpermanent and detachable cross members extendable transversely across a said bed frame and releasably engageable in pivotal interconnecting relation each with respective opposite pairs of said side rail risers,said side rail risers each having pivot pins thereon,and said cross members each having end openings for receiving said pivot pins,said cross members being relatively pivotally engaged at their end openings with said riser pivot pins, and being supportable in suspended relation between and by said pivot pins,said cross members extendable transversely between said side frame members and having their said end openings in effective alignment with respective opposite pairs of said holes,said riser pivot pins extendable through said holes and into said cross member end openings,and releasable securing means for releasably securing said pins within said side frame member holes.",,1,
3930273,17,"17. A side rail assembly for a bed, for selective detachable connection to a bed, comprisinga pair of separately detachable side rails each with spaced risers pivotally secured thereto, and one said riser having a releasable pivot-prevention lock thereon for selectively locking said riser in a given position about a pivot axis therefor,and a pair of nonpermanent and detachable cross members, extendable transversely across a bed frame and releasably separably engageable in pivotal interconnecting relation each with respective opposite ones of each of the two risers associated with each of said side rails,each of said releasable pivot prevention locks including a selectively movable latch,said latches each having a slot therein of larger vertical extent than the respective said riser pivot pin, and through which slot a respective said riser pivot pin extends, to enable support of said latch by said pivot pin when said side rail assembly is not connected to a bed and to enable up and down lock/release movement of said latch when said latch is engaged with a bed,and a pivot-stop on each said riser which has a latch thereon and latchably engageable in locking relation with said latch at one pivoted position of said latch and releasable from its riser-locked relation at a second pivotal position of said latch.",,1,
3930273,19,"19. A bed arrangement comprisinga bed frame,a side rail assembly for said bed frame, said side rail assembly comprisinga pair of separately detachable side rails each with spaced risers pivotally secured thereto,said risers being removably pivotally mounted on an effective portion of said bed frame,and a pair of nonpermanent and detachable cross members extending transversely across said bed frame and releasably engageable in pivotal interconnecting relation each with respective opposite pairs of said side rail risers,said cross members and said side rail risers having a respective pin and socket interconnection formed therebetween at opposite end zones of said cross members,said cross members and said risers being relatively pivotally interconnectable through their respective said pin and socket interconnections,said bed frame including spaced generally parallel longitudinal side frame members with spaced holes effectively formed thereon,said cross members extending between said side frame members and said cross members and said risers being removably disposed with their respective pin and socket connections aligned with and having a portion thereof extending through spaced holes and supported on said side frame members,and releasable securing means releasably securing said pin and socket interconnections with a portion of said interconnections extending through said spaced side frame member holes.",,1,
3930273,4,"4. A bed arrangement according to claim 3,said releasable securing means comprising finger actuatable spring retainers carried by each of said risers and releasably engageable in resilient relation with said riser pivot pins.",3,0,
3930273,12,"12. A bed arrangement according to claim 11,each of said spring retainers having a finger engageable loop thereon for finger actuated locking or release thereof relative to its said riser pivot pin and the respective said longitudinal side frame member.",11,0,
3930273,13,"13. A bed arrangement according to claim 1,said releasable securing means comprising finger actuatable spring retainers carried by each of said risers and releasably engageable in resilient relation with said riser pivot pins.",1,0,
3930273,9,"9. A bed arrangement according to claim 8,two of said spring retainers being each secured in latch-engaging relation to a respective one of said riser pivot pins and being also releasably engageable with a said groove in the respective said pivot pin at a position spaced along the length of said pin from said wrap-engaging relation position of said spring retainer on the respective said pin.",8,0,
3930273,22,"22. A bed arrangement according to claim 21,each of said spring retainers having a finger engageable loop thereon for finger actuated locking or release thereof relative to its said riser pivot pin and the respective said longitudinal side frame member.",21,0,
3930273,14,"14. A bed arrangement according to claim 13,each of said spring retainers having a finger engageable loop thereon for finger actuated locking or release thereof relative to its said riser pivot pin and the respective said longitudinal side frame member.",13,0,
3930273,18,"18. A side rail assembly according to claim 17,each of said movable latches including a cam surface engageable in latch moving relation by the respective said riser stop pin as the respective said riser approaches one extent of its pivoted travel, and a slot adjacent to said cam surface and engageable in releasable locking engagement with said stop pin at said one extent to pivoted travel of the respective said one riser.",17,0,
3930273,2,"2. A bed arrangement according to claim 1,each of said releasable pivot-prevention locks on said risers including a latch removably pivotally engaged with a respective adjacent one of said longitudinal side frame members,said latches each having a slot therein larger in one direction than the cross section of the respective said riser pivot pin, and through which slot a respective said riser pivot pin extends to enable pivoted lock/release movement of said latch about the zone of pivotal engagement of said latch with a respective said longitudinal side frame member,and a lock pin on each of said risers which have a latch thereon and latchably engageable in riser-locking relation with said latch at one pivoted position of said latch and releasable from its riser locked relation at a second pivoted position of said latch.",1,0,
3930273,15,"15. A bed arrangement according to claim 13,said riser pivot pins each having a retention groove therein for releasable retentive engagement by said spring retainers on the inner side of the respective said longitudinal side frame member.",13,0,
3930273,7,"7. A bed arrangement according to claim 6,a pivotal engagement of each of said latches with said longitudinal side frame members being about a respective generally horizontal pivot axis, said one pivoted position of each said latch being an upward pivoted position as compared to said second pivoted position of said latch, whereby said latch is gravity biased toward said one pivoted position.",6,0,
3930273,16,"16. A bed arrangement according to claim 13,two of said spring retainers being each secured in latch-engaging relation to a respective one of said riser pivot pins and being also releasably engageable with a said retention groove in the respective said pivot pin at a position spaced along the length of said pin from said warp-engaging relation position of said spring retainer on the respective said pin.",13,0,
3930273,8,"8. A bed arrangement according to claim 6,said riser pivot pins each having a groove therein for releasable retentive engagement by said spring retainers on the inner side of the respective said longitudinal side frame member.",6,0,
